Species_Name,Species_formula,Phase,Image,DfH_0K,DfH_298K,Uncertainty,Units,Relative_Molecular_Mass,ATcT_ID
Phenylium,[C6H5]+,g,,1149.31,1136.53,0.85,kJ/mol,77.1034 ±0.0048,17333-73-2*0
Indene,C6H4(CHCHCH2),g,,183.79,159.9,0.72,kJ/mol,116.1598 ±0.0072,95-13-6*0
Fluorobenzene,C6H5F,g,,-96.04,-111.72,0.39,kJ/mol,96.1023 ±0.0048,462-06-6*0
Ethyl nitrite,CH3CH2ONO,"g, trans-cis",,-79.93,-98.66,0.86,kJ/mol,75.0666 ±0.0017,109-95-5*1
Boron,B,g,,565.38,570.48,0.61,kJ/mol,10.8110 ±0.0070,7440-42-8*0
Fluorooxidanyl,FO,g,,110.28,110.9,0.14,kJ/mol,34.99780 ±0.00030,12061-70-0*0
Nitrous oxide,NNO,g,,86.022,82.593,0.096,kJ/mol,44.01288 ±0.00033,10024-97-2*0
Azanide,[NH2]-,g,,114.66,111.79,0.29,kJ/mol,16.02317 ±0.00016,17655-31-1*0
Nitrogen trifluoride,NF3,g,,-125.9,-131.61,0.54,kJ/mol,71.001950 ±0.000070,7783-54-2*0
Methanium,[CH5]+,g,,922.02,911.78,0.44,kJ/mol,17.04985 ±0.00087,15135-49-6*0
Ethylidene,CH3CH,"g, triplet",,361.29,354.29,0.48,kJ/mol,28.0532 ±0.0016,4218-50-2*1
Ethylidene,CH3CH,"g, singlet",,373.64,366.41,0.56,kJ/mol,28.0532 ±0.0016,4218-50-2*2
Aminomethylium,[CH2NH2]+,g,,763.63,751.66,0.52,kJ/mol,30.04865 ±0.00085,488821-23-4*0
Cyanomethyl,CH2CN,g,,262.85,259.97,0.53,kJ/mol,40.0440 ±0.0016,2932-82-3*0
Cyanic fluoride,FCN,g,,8.5,8.83,0.74,kJ/mol,45.01584 ±0.00080,1495-50-7*0
Propadienylidene,CH2CC,g,,554.45,555.59,0.39,kJ/mol,38.0480 ±0.0024,60731-10-4*0
t-Butyl,(CH3)3C,g,,75.35,50.06,0.68,kJ/mol,57.1143 ±0.0033,1605-73-8*0
n-Pentane,CH3CH2CH2CH2CH3,g,,-114.17,-146.05,0.29,kJ/mol,72.1488 ±0.0041,109-66-0*0
Methanediol,CH2(OH)2,"g, C2 gauche",,-378.5,-392.44,0.62,kJ/mol,48.0413 ±0.0010,463-57-0*1
Formic acid,HC(O)OH,"g, anti",,-354.65,-361.76,0.37,kJ/mol,46.0254 ±0.0010,64-18-6*2
Cyanooxidanyl,NCO,g,,126.98,127.45,0.33,kJ/mol,42.01684 ±0.00086,22400-26-6*0
Acetic acid,CH3C(O)OH,g,,-418.43,-432.6,0.32,kJ/mol,60.0520 ±0.0017,64-19-7*0
Ethenamine,CH2CHNH2,g,,69.39,54.83,0.66,kJ/mol,43.0678 ±0.0016,593-67-9*0
Fluoroethane,CH3CH2F,g,,-257.24,-272.11,0.35,kJ/mol,48.0595 ±0.0016,353-36-6*0
Chlorotrifluoromethane,CF3Cl,g,,-704.26,-709.37,0.56,kJ/mol,104.4586 ±0.0012,75-72-9*0
Pyridine,N(CHCHCHCHCH),g,,157.34,140.53,0.4,kJ/mol,79.0999 ±0.0040,110-86-1*0
Carbamoyl,NH2CO,g,,-7.73,-14.14,0.72,kJ/mol,44.03272 ±0.00087,2858-51-7*0
Acrylonitrile,CH2CHCN,g,,194.02,187.25,0.6,kJ/mol,53.0627 ±0.0024,107-13-1*0
"1,2,3-Butatrien-1-yl",CH2CCCH,g,,497.53,497.55,0.66,kJ/mol,51.0666 ±0.0032,22112-56-7*0
Disilane,SiH3SiH3,g,,92.0,75.9,1.3,kJ/mol,62.21864 ±0.00073,1590-87-0*0
"2,4-Hexadiyne",CH3CCCCCH3,g,,380.35,370.32,0.82,kJ/mol,78.1118 ±0.0048,2809-69-0*0
Bromooxidanyl,BrO,g,,131.22,123.68,0.28,kJ/mol,95.9034 ±0.0010,15656-19-6*0
Nitrosyl ion,[NO]+,g,,984.515,984.51,0.066,kJ/mol,30.00559 ±0.00031,14452-93-8*0
Aminooxy,NH2O,g,,70.66,64.05,0.61,kJ/mol,32.02202 ±0.00034,13408-29-2*0
Hydroxyamidogen,HNOH,"g, trans",,101.28,94.44,0.83,kJ/mol,32.02202 ±0.00034,13940-32-4*1
Dioxygen cation,[O2]+,g,,1164.585,1165.221,0.0092,kJ/mol,31.99825 ±0.00060,12185-07-8*0
Ethynylene,C2,g,,819.967,828.433,0.083,kJ/mol,24.0214 ±0.0016,12070-15-4*0
Ethanide,[CH3CH2]-,g,,155.43,144.35,0.87,kJ/mol,29.0616 ±0.0016,25013-41-6*0
Vinylium,[CH2CH]+,g,,1119.18,1115.74,0.52,kJ/mol,27.0447 ±0.0016,14604-48-9*0
Hydroxymethylene,HCOH,"g, trans",,112.7,108.93,0.27,kJ/mol,30.02598 ±0.00087,19710-56-6*1
Carbonic acid,C(O)(OH)2,"g, cis-cis",,-602.25,-612.42,0.55,kJ/mol,62.0248 ±0.0012,463-79-6*1
Peroxyformic acid,HC(O)OOH,"g, cis",,-279.2,-288.55,0.63,kJ/mol,62.0248 ±0.0012,107-32-4*1
"1,2-Propadienyl anion",[CH2CCH]-,g,,266.08,263.03,0.63,kJ/mol,39.0565 ±0.0024,64066-06-4*0
1-Propanol,CH3CH2CH2OH,g,,-231.14,-254.98,0.2,kJ/mol,60.0950 ±0.0025,71-23-8*0
Cyclopentane,CH2(CH2CH2CH2CH2),g,,-43.38,-75.95,0.38,kJ/mol,70.1329 ±0.0041,287-92-3*0
2-Ethylidenedioxidan-2-ium-1-ide,CH3CHOO,"g, syn",,51.24,37.78,0.54,kJ/mol,60.0520 ±0.0017,68941-70-8*2
Phenolate,[C6H5O]-,g,,-145.97,-161.44,0.81,kJ/mol,93.1038 ±0.0048,3229-70-7*0
(1E)-Ethanimine,CH3CHNH,"g, trans",,55.81,39.6,0.72,kJ/mol,43.0678 ±0.0016,56003-81-7*0
Diazomethyl,HCNN,"g, doublet",,467.88,465.33,0.68,kJ/mol,41.03212 ±0.00082,20813-32-5*1
Bromotrifluoromethane,CF3Br,g,,-638.62,-650.74,0.39,kJ/mol,148.9099 ±0.0013,75-63-8*0
Tetrahedrane,CH(CH(CHCH)),g,,547.71,539.3,0.9,kJ/mol,52.0746 ±0.0032,157-39-1*0
Silylene,SiH2,"g, singlet",,271.58,269.92,0.81,kJ/mol,30.10138 ±0.00033,13825-90-6*2
Sulfur monoxide,SO,g,,5.95,5.99,0.13,kJ/mol,48.0654 ±0.0060,13827-32-2*0
Sulfenic acid,HSOH,g,,-108.15,-114.32,0.94,kJ/mol,50.0813 ±0.0060,62607-44-7*0
Sulfanyl,SH,g,,142.8,143.26,0.18,kJ/mol,33.0739 ±0.0060,13940-21-1*0
Chlorine dioxide,OClO,g,,101.42,98.95,0.29,kJ/mol,67.4515 ±0.0011,10049-04-4*0
Hypobromite,[BrO]-,g,,-95.99,-103.47,0.53,kJ/mol,95.9039 ±0.0010,14380-62-2*0
Trioxidane,HOOOH,"g, trans",,-81.75,-90.6,0.4,kJ/mol,50.01408 ±0.00091,14699-99-1*1
(E)-Diazene,HNNH,"g, trans",,207.21,200.06,0.4,kJ/mol,30.02936 ±0.00020,15626-43-4*0
(E)-Iminomethyl,HCNH,"g, trans",,275.81,272.2,0.56,kJ/mol,28.03332 ±0.00082,54980-10-8*0
Cyanogen,NCCN,g,,308.21,310.15,0.41,kJ/mol,52.0349 ±0.0016,460-19-5*0
Water,H2O,l,,,-285.802,0.022,kJ/mol,18.01528 ±0.00033,7732-18-5*590
Peroxyformyl,HC(O)OO,"g, syn",,-100.41,-105.71,0.67,kJ/mol,61.0168 ±0.0012,56240-83-6*1
1-Methylethenyl,CH3CCH2,g,,263.03,252.64,0.61,kJ/mol,41.0718 ±0.0024,15552-77-9*0
Cyclopentene,CH2(CH2CHCHCH2),g,,59.93,35.66,0.43,kJ/mol,68.1170 ±0.0040,142-29-0*0
Dioxirane,CH2(OO),g,,9.42,1.75,0.37,kJ/mol,46.0254 ±0.0010,157-26-6*0
Trimethylamine,(CH3)3N,g,,2.7,-26.15,0.78,kJ/mol,59.1103 ±0.0025,75-50-3*0
Diazomethane,CH2NN,g,,273.64,267.37,0.86,kJ/mol,42.04006 ±0.00082,334-88-3*0
Dichloromethylene,CCl2,"g, singlet",,229.87,231.06,0.64,kJ/mol,82.9161 ±0.0020,1605-72-7*2
Trifluoromethylium,[CF3]+,g,,409.81,406.6,0.41,kJ/mol,69.00536 ±0.00080,18851-76-8*0
Glycine,NH2CH2C(O)OH,aq,,,-470.09,0.21,kJ/mol,75.0666 ±0.0017,56-40-6*800
Methylketene,CH3CHCO,g,,-54.11,-63.59,0.63,kJ/mol,56.0633 ±0.0024,6004-44-0*0
Disilene,SiH2SiH2,"g, singlet",,288.8,280.1,1.7,kJ/mol,60.20276 ±0.00066,15435-77-5*2
"1,3-Pentadiyne",HCCCCCH3,g,,418.18,413.96,0.65,kJ/mol,64.0853 ±0.0040,4911-55-1*0
Disulfur,S2,g,,127.36,127.67,0.27,kJ/mol,64.1320 ±0.0120,23550-45-0*0
Sulfuric acid,OS(O)(OH)2,"cr,l",,-811.89,-813.88,0.13,kJ/mol,98.0795 ±0.0061,7664-93-9*500
Dimethyl sulfide,CH3SCH3,g,,-20.24,-36.75,0.35,kJ/mol,62.1350 ±0.0062,75-18-3*0
Ozonide,[OOO]-,g,,-58.47,-60.83,0.21,kJ/mol,47.99875 ±0.00090,12596-80-4*0
Azido radical,NNN,g,,452.42,449.83,0.59,kJ/mol,42.02022 ±0.00021,12596-60-0*0
Difluorodioxidane,FOOF,g,,35.38,31.66,0.4,kJ/mol,69.99561 ±0.00060,7783-44-0*0
Hydroxyoxomethylium,[HOCO]+,g,,600.71,597.62,0.43,kJ/mol,45.0169 ±0.0010,638-71-1*0
Hydrazoic acid,HNNN,g,,298.03,291.73,0.48,kJ/mol,43.02816 ±0.00022,7782-79-8*0
Methylidyne,CH,"g, doublet",,592.969,596.304,0.081,kJ/mol,13.01864 ±0.00080,3315-37-5*1
Acetylium,[CH3CO]+,g,,666.7,659.41,0.42,kJ/mol,43.0441 ±0.0016,15762-07-9*0
Hydrogen isocyanide,HNC,g,,192.07,192.45,0.32,kJ/mol,27.02538 ±0.00081,6914-07-4*0
Chloroacetylene,HCCCl,g,,229.35,230.21,0.44,kJ/mol,60.4820 ±0.0018,593-63-5*0
Fluoroacetylene,HCCF,g,,104.98,105.69,0.39,kJ/mol,44.0277 ±0.0016,2713-09-9*0
iso-Propylium,[CH3CHCH3]+,g,,822.98,805.9,0.23,kJ/mol,43.0871 ±0.0024,19252-53-0*0
1-Propenyl,CH3CHCH,"g, cis",,278.19,267.35,0.63,kJ/mol,41.0718 ±0.0024,6067-68-1*2
1-Hydroxyethylium,[CH3CHOH]+,"g, anti",,608.89,594.47,0.37,kJ/mol,45.0600 ±0.0017,18682-96-7*1
Ketenyl,HCCO,g,,177.1,178.19,0.54,kJ/mol,41.0287 ±0.0016,51095-15-9*0
Ethynol,HCCOH,"g, singlet",,95.31,92.82,0.73,kJ/mol,42.0367 ±0.0016,32038-79-2*2
Hydroxymethoxy,CH2(OH)O,"g, gauche",,-159.58,-169.54,0.84,kJ/mol,47.0333 ±0.0010,72144-78-6*3
1-Butanol,CH3CH2CH2CH2OH,g,,-244.5,-274.75,0.24,kJ/mol,74.1216 ±0.0033,71-36-3*0
Acetic acid,CH3C(O)OH,"g, anti",,-397.64,-412.04,0.5,kJ/mol,60.0520 ±0.0017,64-19-7*2
Glycolaldehyde,HC(O)CH2OH,"g, syn-syn",,-304.29,-317.56,0.89,kJ/mol,60.0520 ±0.0017,141-46-8*11
Methyl formate,HC(O)OCH3,"g, anti",,-326.6,-339.1,1.1,kJ/mol,60.0520 ±0.0017,107-31-3*2
Glyoxal,OCHCHO,"g, trans",,-207.84,-213.47,0.55,kJ/mol,58.0361 ±0.0017,107-22-2*1
(Methylamino)methyl,CH3NHCH2,g,,168.82,152.37,0.7,kJ/mol,44.0758 ±0.0017,31277-24-4*0
Diazirinyl,HC(NN),"g, 2A2",,491.1,487.71,0.96,kJ/mol,41.03212 ±0.00082,69967-71-1*1
Diazirine,CH2(NN),g,,320.7,313.0,1.1,kJ/mol,42.04006 ±0.00082,157-22-2*0
Trichloromethyl,CCl3,g,,73.78,73.3,0.84,kJ/mol,118.3688 ±0.0028,3170-80-7*0
"1,1-Dichloroethane",CH3CHCl2,g,,-120.16,-132.93,0.43,kJ/mol,98.9586 ±0.0024,75-34-3*0
Dibromomethane,CH2Br2,g,,27.0,5.6,0.59,kJ/mol,173.8346 ±0.0022,74-95-3*0
Bromobenzene,C6H5Br,g,,127.0,104.9,1.3,kJ/mol,157.0079 ±0.0049,108-86-1*0
Phenylethene,C6H5CHCH2,g,,169.9,148.56,0.51,kJ/mol,104.1491 ±0.0064,100-42-5*0
Phenylacetylene,C6H5CCH,g,,332.8,317.64,0.69,kJ/mol,102.1332 ±0.0064,536-74-3*0
Phenoxy,C6H5O,g,,71.49,56.21,0.81,kJ/mol,93.1033 ±0.0048,2122-46-5*0
Dioxidanide,[HOO]-,g,,-88.92,-91.58,0.34,kJ/mol,33.00729 ±0.00060,14691-59-9*0
Acetophenone,C6H5C(O)CH3,g,,-60.72,-83.9,0.98,kJ/mol,120.1485 ±0.0064,98-86-2*0
Hydroxyde,[OH]-,aq,,,-229.758,0.023,kJ/mol,17.00789 ±0.00031,14280-30-9*800
Nitrosomethane,CH3NO,g,,80.97,71.06,0.91,kJ/mol,45.04066 ±0.00088,865-40-7*0
Isocyanoacetylene,HCCNC,g,,484.8,487.02,0.98,kJ/mol,51.0468 ±0.0024,66723-45-3*0
Cyclobutadiene,CH(CHCHCH),g,,436.56,428.1,0.63,kJ/mol,52.0746 ±0.0032,1120-53-2*0
Fulvene,CH2C(CHCHCHCH),g,,232.1,216.1,1.1,kJ/mol,78.1118 ±0.0048,497-20-1*0
Disilanyl,SiH3SiH2,g,,242.3,230.3,1.5,kJ/mol,61.21070 ±0.00069,73151-72-1*0
Silanone,SiH2O,g,,-93.79,-99.13,0.99,kJ/mol,46.10078 ±0.00045,22755-01-7*0
Silyloxy,SiH3O,g,,8.5,0.6,1.4,kJ/mol,47.10872 ±0.00047,81429-20-1*0
Methanethiol,CH3SH,g,,-10.4,-20.67,0.46,kJ/mol,48.1085 ±0.0061,74-93-1*0
Chlorous acid,HOClO,g,,25.76,20.71,0.63,kJ/mol,68.4594 ±0.0011,13898-47-0*0
Dioxygen anion,[O2]-,g,,-43.36,-42.72,0.17,kJ/mol,31.99935 ±0.00060,11062-77-4*0
Iodooxidanyl,IO,g,,127.05,125.12,0.82,kJ/mol,142.90387 ±0.00030,14696-98-1*0
Iodotrifluoromethane,CF3I,g,,-583.19,-589.09,0.45,kJ/mol,195.91038 ±0.00080,2314-97-8*0
Carbon monoxide cation,[CO]+,g,,1238.311,1241.59,0.026,kJ/mol,28.00955 ±0.00085,12144-04-6*0
Hydrazine,NH2NH2,g,,111.79,97.64,0.44,kJ/mol,32.04524 ±0.00031,302-01-2*0
Nitrate,[ON(O)O]-,g,,-299.71,-306.26,0.22,kJ/mol,62.00549 ±0.00090,14797-55-8*0
Methanide,[CH3]-,g,,141.16,137.71,0.24,kJ/mol,15.03507 ±0.00083,15194-58-8*0
Hypofluorite,[FO]-,g,,-108.84,-108.67,0.48,kJ/mol,34.99835 ±0.00030,12763-66-5*0
Methyleneamidogen,CH2N,g,,242.1,238.44,0.55,kJ/mol,28.03332 ±0.00082,15845-29-1*0
Cyanogen iodide,ICN,g,,222.5,222.0,1.7,kJ/mol,152.92191 ±0.00080,506-78-5*0
Formyl anion,[HCO]-,g,,11.6,11.98,0.44,kJ/mol,29.01859 ±0.00086,57340-31-5*0
n-Propylium,[CH3CH2CH2]+,g,,857.16,838.88,0.76,kJ/mol,43.0871 ±0.0024,19252-52-9*0
Cyclopropyl,CH(CH2CH2),g,,303.9,291.27,0.48,kJ/mol,41.0718 ±0.0024,2417-82-5*0
2-Propynylidyne,CCCH,g,,718.76,723.11,0.71,kJ/mol,37.0400 ±0.0024,53590-28-6*0
iso-Pentane,CH3CH2CH(CH3)2,g,,-118.91,-152.96,0.39,kJ/mol,72.1488 ±0.0041,78-78-4*0
1-Hydroxyethylidene,CH3COH,"g, anti singlet",,57.44,47.07,0.77,kJ/mol,44.0526 ±0.0017,30967-49-8*21
Dicarbon monoxide,CCO,"g, triplet",,377.12,381.16,0.83,kJ/mol,40.0208 ±0.0016,12071-23-7*1
Fluorodioxidanyl,FOO,g,,26.88,25.17,0.26,kJ/mol,50.99720 ±0.00060,15499-23-7*0
Dimethylamidogen,(CH3)2N,g,,175.08,157.74,0.92,kJ/mol,44.0758 ±0.0017,15337-44-7*0
2-Iminoethyl,CH2CHNH,"g, anti",,219.37,208.01,0.86,kJ/mol,42.0599 ±0.0016,73843-90-0*2
Isocyanoamidogen,HNNC,"g, doublet",,489.7,487.7,1.2,kJ/mol,41.03212 ±0.00082,947408-73-3*1
Chloromethylene,CHCl,"g, singlet",,320.35,320.64,0.89,kJ/mol,48.4713 ±0.0012,2108-20-5*2
"1,1-Difluoroethene",CH2CF2,g,,-343.6,-350.66,0.63,kJ/mol,64.0341 ±0.0016,75-38-7*0
Indane,C6H4(CH2CH2CH2),g,,90.88,59.85,0.76,kJ/mol,118.1757 ±0.0072,496-11-7*0
o-Tolualdehyde,CH3C6H4C(O)H,"g, ortho",,-44.1,-66.4,1.1,kJ/mol,120.1485 ±0.0064,529-20-4*0
Carbamic acid,NH2C(O)OH,"g, syn",,-421.82,-435.04,0.83,kJ/mol,61.0401 ±0.0010,463-77-4*1
3-Buten-2-one,CH3C(O)CHCH2,"g, trans",,-95.29,-111.53,0.85,kJ/mol,70.0898 ±0.0032,78-94-4*1
Urea,NH2C(O)NH2,g,,-218.15,-234.55,0.42,kJ/mol,60.05534 ±0.00091,57-13-6*0
Oxomethaniminium,[NH2CO]+,g,,695.33,688.77,0.89,kJ/mol,44.03217 ±0.00087,59348-22-0*0
Acetamide,CH3C(O)NH2,g,,-219.62,-237.14,0.56,kJ/mol,59.0672 ±0.0017,60-35-5*0
1-Cyanovinyl,CH2CCN,g,,419.1,418.9,1.1,kJ/mol,52.0547 ±0.0024,15091-87-9*0
"1,3-Hexadiyne",HCCCCCH2CH3,g,,405.23,393.54,0.94,kJ/mol,78.1118 ±0.0048,4447-21-6*0
(E)-1-Methylallyl,CH3CHCHCH2,"g, trans",,152.68,135.37,0.79,kJ/mol,55.0984 ±0.0032,17787-86-9*0
Sulfuric acid,OS(O)(OH)2,"aq, 1000 H2O",,,-892.24,0.13,kJ/mol,98.0795 ±0.0061,7664-93-9*839
Iodine monochloride,ICl,g,,19.024,17.391,0.013,kJ/mol,162.35717 ±0.00090,7790-99-0*0
Hypoiodite,[IO]-,g,,-102.38,-104.2,0.88,kJ/mol,142.90442 ±0.00030,15065-65-3*0
Nitrogen atom cation,N+,g,,1872.94,1875.722,0.03,kJ/mol,14.006191 ±0.000070,14158-23-7*0
Trinitrogen cation,[NNN]+,g,,1519.64,1517.01,0.89,kJ/mol,42.01967 ±0.00021,12185-03-4*0
Oxonitrate anion,[NO]-,g,,88.12,88.16,0.25,kJ/mol,30.00669 ±0.00031,14967-78-3*0
Nitrogen sesquioxide,ONN(O)O,g,,90.78,86.21,0.15,kJ/mol,76.01168 ±0.00091,10544-73-7*0
Chlorine trifluoride,FCl(F)F,g,,-158.62,-162.72,0.87,kJ/mol,92.44791 ±0.00090,7790-91-2*0
Hexafluoroethane,CF3CF3,g,,-1334.05,-1342.35,0.8,kJ/mol,138.0118 ±0.0016,76-16-4*0
Methyliumyl,[CH2]+,g,,1393.203,1394.062,0.099,kJ/mol,14.02603 ±0.00081,15091-72-2*0
Methylene anion,[CH2]-,g,,328.17,328.61,0.18,kJ/mol,14.02713 ±0.00081,50928-07-9*0
Methylidyne anion,[CH]-,g,,475.76,479.09,0.21,kJ/mol,13.01919 ±0.00080,28604-54-8*0
Ethanium,[C2H7]+,"g, bridged C2",,874.38,858.12,0.61,kJ/mol,31.0764 ±0.0017,24669-33-8*1
Methylammonium,[CH3NH3]+,g,,628.37,609.45,0.84,kJ/mol,32.06453 ±0.00091,17000-00-9*0
Methylperoxy anion,[CH3OO]-,g,,-89.67,-99.81,0.45,kJ/mol,47.0339 ±0.0010,35683-44-4*0
Cyclobutane,CH2(CH2CH2CH2),g,,52.25,27.71,0.36,kJ/mol,56.1063 ±0.0032,287-23-0*0
2-Butynyl,CH3CCCH2,g,,318.16,310.8,0.66,kJ/mol,53.0825 ±0.0032,82252-88-8*0
"1,2-Butadienyl",CH3CHCCH,g,,328.96,320.24,0.63,kJ/mol,53.0825 ±0.0032,4777-46-2*0
Isoprene,CH2C(CH3)CHCH2,g,,96.28,75.76,0.66,kJ/mol,68.1170 ±0.0040,78-79-5*0
Oxirene,O(CHCH),"g, singlet",,272.43,270.27,0.6,kJ/mol,42.0367 ±0.0016,157-18-6*2
Dihydroxymethyl,CH(OH)2,"g, syn-anti",,-196.9,-206.3,1.1,kJ/mol,47.0333 ±0.0010,14840-85-8*1
Formyloxidanyl,HC(O)O,"g, 2A1",,-125.76,-127.43,0.55,kJ/mol,45.0174 ±0.0010,16499-21-1*1
Methoxyethane,CH3CH2OCH3,g,,-194.29,-217.18,0.52,kJ/mol,60.0950 ±0.0025,540-67-0*0
Chlorine atom cation,Cl+,g,,1370.807,1372.603,0.0021,kJ/mol,35.45215 ±0.00090,24203-47-2*0
Cyanoamidogen anion,[HNCN]-,"g, singlet",,69.76,66.76,0.72,kJ/mol,41.03267 ±0.00082,67131-47-9*2
"1,1,1-Trichloroethane",CH3CCl3,g,,-133.99,-144.56,0.51,kJ/mol,133.4033 ±0.0031,71-55-6*0
Tetrachloroethene,CCl2CCl2,g,,-20.53,-21.4,0.99,kJ/mol,165.8322 ±0.0039,127-18-4*0
Chloronium,[HClH]+,g,,881.5,878.4,1.1,kJ/mol,37.46803 ±0.00091,36658-55-6*0
Chlorodifluoromethane,CHClF2,g,,-475.57,-481.77,0.99,kJ/mol,86.4681 ±0.0012,75-45-6*0
Fluoromethylene,CHF,"g, singlet",,148.4,148.68,0.43,kJ/mol,32.01704 ±0.00080,13453-52-6*2
Fluoroformyl,FCO,g,,-176.62,-176.03,0.37,kJ/mol,47.00850 ±0.00085,1871-24-5*0
2-Bromoethanol,BrCH2CH2OH,g,,-195.99,-220.05,0.52,kJ/mol,124.9645 ±0.0019,540-51-2*0
Carbon suboxide,OCCCO,g,,-94.42,-92.31,0.96,kJ/mol,68.0309 ±0.0025,504-64-3*0
Ethylbenzene,C6H5CH2CH3,g,,58.42,29.96,0.52,kJ/mol,106.1650 ±0.0064,100-41-4*0
m-Tolualdehyde,CH3C6H4C(O)H,"g, meta",,-48.4,-71.3,1.2,kJ/mol,120.1485 ±0.0064,620-23-5*0
Glycine,NH2CH2C(O)OH,g,,-377.66,-394.69,0.55,kJ/mol,75.0666 ±0.0017,56-40-6*0
Methylcarbamic acid,CH3NHC(O)OH,"g, syn-anti",,-414.49,-433.83,0.92,kJ/mol,75.0666 ±0.0017,6414-57-9*1
3-Oxo-1-propenyl,CHCHCHO,"g, anti-trans",,190.96,184.94,0.91,kJ/mol,55.0553 ±0.0024,206255-29-0*11
2-Propynal,CHCCHO,g,,135.52,133.35,0.87,kJ/mol,54.0474 ±0.0024,624-67-9*0
Cyanomethylene,HCCN,"g, triplet",,479.7,483.0,1.1,kJ/mol,39.0361 ±0.0016,2612-62-6*1
3-Methylenecyclopropene,CH2C(CHCH),g,,396.09,388.16,0.81,kJ/mol,52.0746 ±0.0032,4095-06-1*0
Phenylperoxy,C6H5OO,g,,154.0,137.0,1.4,kJ/mol,109.1027 ±0.0049,91422-02-5*0
Fluorosilylidyne,SiF,"g, doublet",,-60.33,-58.5,0.62,kJ/mol,47.08390 ±0.00030,11128-24-8*1
Silylidyne,SiH,g,,371.21,373.01,0.67,kJ/mol,29.09344 ±0.00031,13774-94-2*0
Bromosilane,SiH3Br,g,,-59.1,-75.5,1.4,kJ/mol,111.0133 ±0.0011,13465-73-1*0
Bromotrimethylsilane,SiBr(CH3)3,g,,-259.4,-290.1,2.0,kJ/mol,153.0931 ±0.0027,2857-97-8*0
Trimethylsilylium,[Si(CH3)3]+,g,,655.4,634.7,1.9,kJ/mol,73.1885 ±0.0025,28927-31-3*0
1-Methyl-1-propenyl,CH3CCHCH3,"g, trans",,240.11,223.93,0.66,kJ/mol,55.0984 ±0.0032,71790-71-1*1
1-Butenyl,CH3CH2CHCH,"g, cis",,263.47,246.13,0.68,kJ/mol,55.0984 ±0.0032,2669-61-6*2
Iodine cation,I+,g,,1115.549,1115.149,0.0062,kJ/mol,126.903921 ±0.000030,22541-93-1*0
Ammonium,[NH4]+,aq,,,-133.076,0.056,kJ/mol,18.03795 ±0.00029,14798-03-9*800
Oxygen atom,O,"g, singlet",,436.665,438.523,0.0021,kJ/mol,15.99940 ±0.00030,17778-80-2*2
Ethylidyne,CH3C,"g, quartet",,641.0,636.4,1.1,kJ/mol,27.0452 ±0.0016,67624-57-1*2
Ethynylium,[CCH]+,g,,1687.63,1690.97,0.15,kJ/mol,25.0288 ±0.0016,16456-59-0*0
Isocyanomethanide,[CH2NC]-,g,,254.0,250.96,0.89,kJ/mol,40.0446 ±0.0016,81704-80-5*0
Trioxidanide,[HOOO]-,"g, gauche",,-120.3,-123.4,1.6,kJ/mol,49.00669 ±0.00090,89965-38-8*2
Peroxyformate,[HC(O)OO]-,"g, syn",,-340.93,-346.39,0.8,kJ/mol,61.0174 ±0.0012,104960-05-6*1
Hydrogen peroxide cation,[HOOH]+,"g, trans",,897.3,890.31,0.51,kJ/mol,34.01413 ±0.00062,12325-10-9*1
1-Methylethylidene,CH3CCH3,"g, singlet",,316.07,302.17,0.97,kJ/mol,42.0797 ±0.0024,40852-89-9*2
Propylidene,CH3CH2CH,"g, triplet gauche",,349.51,335.82,0.92,kJ/mol,42.0797 ±0.0024,6700-78-3*11
Cycloprop-2-enylium,[CH(CHCH)]+,g,,1080.46,1075.36,0.99,kJ/mol,39.0554 ±0.0024,26810-74-2*0
Cyclobutene,CH2(CH2CHCH),g,,178.09,161.04,0.6,kJ/mol,54.0904 ±0.0032,822-35-5*0
"1,3-Butadienyl",CH2CHCHCH,"g, trans-trans",,372.28,361.8,0.87,kJ/mol,53.0825 ±0.0032,86181-68-2*11
Cyclohexane,CH2(CH2CH2CH2CH2CH2),g,,-83.22,-122.78,0.29,kJ/mol,84.1595 ±0.0049,110-82-7*0
Protonated oxirane,[(CH2CH2)OH]+,g,,725.74,709.57,0.61,kJ/mol,45.0600 ±0.0017,*38607-31-7*0
Methoxymethyl,CH3OCH2,g,,13.46,0.89,0.86,kJ/mol,45.0605 ±0.0017,16520-04-0*0
Methoxymethylene,CH3OCH,"g, anti singlet",,129.24,118.71,0.78,kJ/mol,44.0526 ±0.0017,19527-10-7*21
Oxirene,O(CHCH),"g, t-triplet",,387.7,383.5,1.3,kJ/mol,42.0367 ±0.0016,157-18-6*11
Diethyl ether,CH3CH2OCH2CH3,g,,-222.78,-250.2,0.75,kJ/mol,74.1216 ±0.0033,60-29-7*0
Cyanic acid,HOCN,g,,-12.3,-15.01,0.43,kJ/mol,43.02478 ±0.00086,420-05-3*0
Fulminic acid,HCNO,g,,170.74,169.29,0.44,kJ/mol,43.02478 ±0.00086,51060-05-0*0
Isofulminic acid,HONC,g,,235.27,233.56,0.43,kJ/mol,43.02478 ±0.00086,506-85-4*0
Nitrosomethylidyne,CNO,g,,389.4,390.7,1.1,kJ/mol,42.01684 ±0.00086,82267-15-0*0
